epoch,accuracy,loss,val_accuracy,val_loss
0,0.2702837288379669,1.3859174251556396,0.2810685336589813,1.3859277963638306
1,0.2772523760795593,1.3856593370437622,0.28687572479248047,1.3856773376464844
2,0.2857142984867096,1.3854032754898071,0.2926829159259796,1.385429859161377
3,0.29118964076042175,1.3851494789123535,0.30545875430107117,1.3851834535598755
4,0.296167254447937,1.3848958015441895,0.31358885765075684,1.3849350214004517
5,0.299651563167572,1.3846426010131836,0.319396048784256,1.384691596031189
6,0.3046291768550873,1.3843902349472046,0.32404181361198425,1.3844470977783203
7,0.31259334087371826,1.3841383457183838,0.322880357503891,1.384202003479004
8,0.31707316637039185,1.3838870525360107,0.32752612233161926,1.3839582204818726
9,0.3225485384464264,1.3836369514465332,0.3286875784397125,1.3837136030197144
0,0.32752612233161926,1.3833856582641602,0.3263646960258484,1.383473515510559
1,0.3300149440765381,1.3831356763839722,0.33914053440093994,1.383230209350586
2,0.3334992527961731,1.3828860521316528,0.33914053440093994,1.3829874992370605
3,0.3369835615158081,1.382636547088623,0.34262484312057495,1.3827447891235352
4,0.3374813199043274,1.3823870420455933,0.33797910809516907,1.382501244544983
5,0.3404679000377655,1.3821377754211426,0.3449477255344391,1.3822619915008545
6,0.3454454839229584,1.381890058517456,0.34610918164253235,1.3820223808288574
7,0.3509208559989929,1.3816421031951904,0.34959349036216736,1.3817814588546753
8,0.35291188955307007,1.3813949823379517,0.3554007112979889,1.3815407752990723
9,0.35639622807502747,1.3811482191085815,0.35772356390953064,1.3812997341156006
0,0.3593827784061432,1.3809016942977905,0.3588850200176239,1.381064772605896
1,0.36087605357170105,1.3806555271148682,0.36120790243148804,1.3808246850967407
2,0.36137381196022034,1.3804097175598145,0.3670150935649872,1.3805862665176392
3,0.36485815048217773,1.3801648616790771,0.3728223145008087,1.3803479671478271
4,0.36734694242477417,1.3799190521240234,0.3739837408065796,1.3801082372665405
5,0.36834245920181274,1.3796736001968384,0.37979093194007874,1.3798730373382568
